,index,label_Chinese,label_English
0,0,烟支投入总数,SC: CIGARETTE FEED COUNT
1,1,铝箔纸投入总张数,SC: FOIL UNWINDING COUNTT
2,2,小盒片投入总张数,SC: BLANK SUCTION COUNT
3,3,内框纸投入总张数,SC: INNER0FRAME SUCTION COUNT
4,4,烟包实际产量,SC: REAL PACKET PRODUCTION
5,5,产品被剔除,SC: REJECTED PRODUCTION
6,6,4号轮剔除数,SC: PACKETS REJECTED AT 4TH WHEEL
7,7,上/下梁架剔除数,SC: PACKETS REJECTED BEAM
8,8,出口通道成像剔除数,SC: PACKETS REJECTED AT EXIT CHAN. PACKET VIS.
9,9,每卷铝箔纸展开的张数,SC: FOIL REEL UNWINDING COUNT
10,10,每卷内框纸展开的张数,SC: INNER0FRAME REEL UNWINDING COUNT
11,11,每垛小盒片的张数,SC: XX BLANK STACK SUNCTION COUNT
12,12,入口处盒模剔除的烟支消耗,SC:
13,13,入口处盒模剔除的铝纸消耗,SC:
14,14,3号轮剔除的烟支消耗,SC:
15,15,3号轮剔除的铝纸消耗,SC:
16,16,3号轮剔除的内框纸消耗,SC:
17,17,3号轮剔除的商标纸消耗,SC:
18,18,4号轮剔除的烟支消耗,SC:
19,19,4号轮剔除的铝纸消耗,SC:
20,20,4号轮剔除的内框纸消耗,SC:
21,21,4号轮剔除的商标纸消耗,SC:
22,22,上/下梁架剔除的烟支消耗,SC:
23,23,上/下梁架剔除的铝纸消耗,SC:
24,24,上/下梁架剔除的内框纸消耗,SC:
25,25,上/下梁架剔除的商标纸消耗,SC:
26,26,出口通道成像剔除的烟支消耗,SC:
27,27,出口通道成像剔除的铝纸消耗,SC:
28,28,出口通道成像剔除的内框纸消耗,SC:
29,29,出口通道成像剔除的商标纸消耗,SC:
30,30,推进器脱离而剔除,SC: REJECTIONS DUE TO PUSHER RELEASE
31,31,盒模烟支侧面阻塞而剔除,SC: REJECTS DUE TO LATERAL BUNDLE JAMS
32,32,盒模凌乱引起的剔除,SC: REJECTIONS DUE TO CIGARETTE BUNDLE JAM
33,33,铝箔纸机组脱离而剔除,SC: REJECTS FOR FOIL GROUP DISENGAGE
34,34,铝箔纸内侧迭接的剔除,SC: REJECTS FOR INSIDE FOIL SPLICE
35,35,铝箔纸外侧迭接的剔除,SC: REJECTIONS DUE TO OUTER SIDE FOIL SPLICE
36,36,光电探测器插件板无信号而剔除,SC: REJ.DUE TO OPT.SENS.BOARD SIGNALS FAIL
37,37,光电探测器测出缺烟而剔除,SC: REJECTS DUE TO NO0CIG. FROM OPT.DETECTOR
38,38,烟支空头而剔除,SC: REJECTIONS DUE TO LOOSE0END CIGARETTES
39,39,手动剔除：偏移的铝箔纸,SC: MANUAL REJECTIONS 0 DISALIGNED FOIL
40,40,空盒模产生的不期望的盒模剔除,SC: REJECTS FOR UNDES.POCK.FROM EMP. POCKETS
41,41,盒片空白而剔除,SC: REJECTS DUE TO BLANKS WITHOUT PRINT
42,42,剔除：第二鼓轮上无盒片／不齐,SC: REJECTION: NO BLANK/DISALIGN ON 2ND DRUM
43,43,内框纸上存在带子的剔除,SC: REJ. FOR TAPE PRESENCE ON INNERFRAME
44,44,第三轮缺拉片而剔除,"SC: REJECT DUE TO 3RD WHEEL ""PULL"" ABSENCE"
45,45,第二轮缺铝箔纸而产生的剔除,SC: REJECTS DUE TO 2ND WHEEL FOIL ABSENCE
46,46,第三轮入口烟包阻塞而剔除,SC: REJECT DUE TO 3RD WHEEL PACKET ENTRY JAM
47,47,无请求第三轮剔除烟包,SC: PACKET REJECT AT 3RD WHEEL NOT REQUESTED
48,48,鼓轮上无存在内框纸时剔除物数量,SC: NO.REJECTS DUE TO NO INNER0FRAME ON DRUM
49,49,第三鼓轮皮带上缺盒片产生的剔除,SC: REJECTS FOR BLANK ABS. ON 3RD DRUM BELT
50,50,无请求第四轮剔除烟包,SC: PACKET REJECT AT 4TH WHEEL NOT REQUESTED
51,51,第三轮缺内框纸而剔除,SC: REJECT DUE TO 3RD WHEEL IN0FRAME ABSENCE
52,52,第三轮半环阻塞而剔除,SC: REJECTS DUE TO 3RD WHEEL HALF0RING JAM
53,53,涂胶器接合超出相位的剔除,SC: REJECTS FOR GLUER ENGAGE OUT OF PHASE
54,54,盒片涂胶不全而剔除,SC: REJECTS DUE TO INCOMPLETELY GLUED BLANKS
55,55,剔除：第三鼓轮上第一前盒片耳,SC: REJECTS: 1ST FRONT BLANK0EAR DRUM3
56,56,剔除：第三鼓轮上第一后盒片耳,SC: REJECTS: 1ST REAR BLANK0EAR 0 DRUM3
57,57,剔除：第三鼓轮上第二前盒片耳,SC: REJECTS: 2ND FRONT BLANK0EAR DRUM3
58,58,剔除：第三鼓轮上第二后盒片耳,SC: REJECTS: 2ND REAR BLANK0EAR 0 DRUM3
59,59,第四轮半环阻塞而剔除,SC: REJECTS DUE TO 4TH WHEEL HALF0RING JAM
60,60,第四轮烟包不规则而剔除,SC: REJECTS: IRREGULAR PACKETS ON 4TH WHEEL
61,61,第五轮前缺盒片的剔除,SC: BLANK REJECTS ABSENT FRONT IN 5TH WHEEL
62,62,第五轮缺盒片而剔除,SC: REJECTS DUE TO NO 5TH WHEEL BLANK
63,63,第五轮入口烟包阻塞而剔除,SC: REJECTS: PACKET JAM AT 5TH WHEEL ENTRY
64,64,第五轮折叠器打开产生的剔除,SC: REJECTS FOR OPENING 5TH WHEEL FOLDERS
65,65,第五轮缺铝箔纸而剔除,SC: REJECTS: NO FOIL ON 5TH WHEEL
66,66,第五轮缺内框纸产生的剔除,SC: REJECT FOR ABSENCE INNER0FRAME 5TH WHEEL
67,67,出口通道成像  1#相机的剔除,SC: EXIT CHA. PACKET VISION 0 1# VIS. REJECT
68,68,出口通道成像  2#相机的剔除,SC: EXIT CHA. PACKET VISION 0 2# VIS. REJECT
69,69,出口通道成像  3#相机的剔除,SC: EXIT CHA. PACKET VISION 0 3# VIS. REJECT
70,70,出口通道成像  4#相机的剔除,SC: EXIT CHA. PACKET VISION 0 4# VIS. REJECT
